        time     pot_ergy        press
  0.2110E+00  -0.4839E+01   0.6207E+00
  0.2120E+00  -0.4839E+01   0.6208E+00
  0.2130E+00  -0.4837E+01   0.6261E+00
  0.2140E+00  -0.4836E+01   0.6313E+00
  0.2150E+00  -0.4835E+01   0.6360E+00
  0.2160E+00  -0.4834E+01   0.6406E+00
  0.2170E+00  -0.4833E+01   0.6423E+00
  0.2180E+00  -0.4834E+01   0.6385E+00
  0.2190E+00  -0.4835E+01   0.6364E+00
  0.2200E+00  -0.4835E+01   0.6329E+00
  0.2210E+00  -0.4835E+01   0.6334E+00
  0.2220E+00  -0.4835E+01   0.6359E+00
  0.2230E+00  -0.4835E+01   0.6362E+00
  0.2240E+00  -0.4835E+01   0.6355E+00
  0.2250E+00  -0.4835E+01   0.6366E+00
  0.2260E+00  -0.4834E+01   0.6389E+00
  0.2270E+00  -0.4834E+01   0.6374E+00
  0.2280E+00  -0.4835E+01   0.6373E+00
  0.2290E+00  -0.4835E+01   0.6381E+00
  0.2300E+00  -0.4835E+01   0.6355E+00
  0.2310E+00  -0.4836E+01   0.6305E+00
  0.2320E+00  -0.4837E+01   0.6254E+00
  0.2330E+00  -0.4838E+01   0.6223E+00
  0.2340E+00  -0.4839E+01   0.6195E+00
  0.2350E+00  -0.4839E+01   0.6180E+00
  0.2360E+00  -0.4840E+01   0.6144E+00
  0.2370E+00  -0.4840E+01   0.6129E+00
  0.2380E+00  -0.4841E+01   0.6094E+00
  0.2390E+00  -0.4841E+01   0.6083E+00
  0.2400E+00  -0.4842E+01   0.6028E+00
  0.2410E+00  -0.4843E+01   0.5971E+00
  0.2420E+00  -0.4844E+01   0.5918E+00
  0.2430E+00  -0.4844E+01   0.5906E+00
  0.2440E+00  -0.4845E+01   0.5862E+00
  0.2450E+00  -0.4845E+01   0.5846E+00
  0.2460E+00  -0.4846E+01   0.5823E+00
  0.2470E+00  -0.4845E+01   0.5827E+00
  0.2480E+00  -0.4846E+01   0.5794E+00
  0.2490E+00  -0.4846E+01   0.5798E+00
  0.2500E+00  -0.4846E+01   0.5779E+00
