           n       Iaprox        E_rel
        2990   0.2501E+00   0.3346E-03
        3000   0.2501E+00   0.3334E-03
        3010   0.2501E+00   0.3323E-03
        3020   0.2501E+00   0.3312E-03
        3030   0.2501E+00   0.3301E-03
        3040   0.2501E+00   0.3291E-03
        3050   0.2501E+00   0.3280E-03
        3060   0.2501E+00   0.3269E-03
        3070   0.2501E+00   0.3258E-03
        3080   0.2501E+00   0.3248E-03
        3090   0.2501E+00   0.3237E-03
        3100   0.2501E+00   0.3227E-03
        3110   0.2501E+00   0.3216E-03
        3120   0.2501E+00   0.3206E-03
        3130   0.2501E+00   0.3196E-03
        3140   0.2501E+00   0.3186E-03
        3150   0.2501E+00   0.3176E-03
        3160   0.2501E+00   0.3166E-03
        3170   0.2501E+00   0.3156E-03
        3180   0.2501E+00   0.3146E-03
        3190   0.2501E+00   0.3136E-03
        3200   0.2501E+00   0.3126E-03
        3210   0.2501E+00   0.3116E-03
        3220   0.2501E+00   0.3107E-03
        3230   0.2501E+00   0.3097E-03
        3240   0.2501E+00   0.3087E-03
        3250   0.2501E+00   0.3078E-03
        3260   0.2501E+00   0.3068E-03
        3270   0.2501E+00   0.3059E-03
        3280   0.2501E+00   0.3050E-03
        3290   0.2501E+00   0.3040E-03
        3300   0.2501E+00   0.3031E-03
        3310   0.2501E+00   0.3022E-03
        3320   0.2501E+00   0.3013E-03
        3330   0.2501E+00   0.3004E-03
        3340   0.2501E+00   0.2995E-03
        3350   0.2501E+00   0.2986E-03
        3360   0.2501E+00   0.2977E-03
        3370   0.2501E+00   0.2968E-03
        3380   0.2501E+00   0.2959E-03
        3390   0.2501E+00   0.2951E-03
        3400   0.2501E+00   0.2942E-03
        3410   0.2501E+00   0.2933E-03
        3420   0.2501E+00   0.2925E-03
        3430   0.2501E+00   0.2916E-03
        3440   0.2501E+00   0.2908E-03
        3450   0.2501E+00   0.2899E-03
        3460   0.2501E+00   0.2891E-03
        3470   0.2501E+00   0.2883E-03
        3480   0.2501E+00   0.2874E-03
        3490   0.2501E+00   0.2866E-03
        3500   0.2501E+00   0.2858E-03
        3510   0.2501E+00   0.2850E-03
        3520   0.2501E+00   0.2842E-03
        3530   0.2501E+00   0.2834E-03
        3540   0.2501E+00   0.2826E-03
        3550   0.2501E+00   0.2818E-03
        3560   0.2501E+00   0.2810E-03
        3570   0.2501E+00   0.2802E-03
        3580   0.2501E+00   0.2794E-03
        3590   0.2501E+00   0.2786E-03
        3600   0.2501E+00   0.2779E-03
        3610   0.2501E+00   0.2771E-03
        3620   0.2501E+00   0.2763E-03
        3630   0.2501E+00   0.2756E-03
        3640   0.2501E+00   0.2748E-03
        3650   0.2501E+00   0.2740E-03
        3660   0.2501E+00   0.2733E-03
        3670   0.2501E+00   0.2726E-03
        3680   0.2501E+00   0.2718E-03
        3690   0.2501E+00   0.2711E-03
        3700   0.2501E+00   0.2703E-03
        3710   0.2501E+00   0.2696E-03
        3720   0.2501E+00   0.2689E-03
        3730   0.2501E+00   0.2682E-03
        3740   0.2501E+00   0.2675E-03
        3750   0.2501E+00   0.2667E-03
        3760   0.2501E+00   0.2660E-03
        3770   0.2501E+00   0.2653E-03
        3780   0.2501E+00   0.2646E-03
        3790   0.2501E+00   0.2639E-03
        3800   0.2501E+00   0.2632E-03
        3810   0.2501E+00   0.2625E-03
        3820   0.2501E+00   0.2618E-03
        3830   0.2501E+00   0.2612E-03
        3840   0.2501E+00   0.2605E-03
        3850   0.2501E+00   0.2598E-03
        3860   0.2501E+00   0.2591E-03
        3870   0.2501E+00   0.2585E-03
        3880   0.2501E+00   0.2578E-03
        3890   0.2501E+00   0.2571E-03
        3900   0.2501E+00   0.2565E-03
        3910   0.2501E+00   0.2558E-03
        3920   0.2501E+00   0.2552E-03
        3930   0.2501E+00   0.2545E-03
        3940   0.2501E+00   0.2539E-03
        3950   0.2501E+00   0.2532E-03
        3960   0.2501E+00   0.2526E-03
        3970   0.2501E+00   0.2520E-03
        3980   0.2501E+00   0.2513E-03
        3990   0.2501E+00   0.2507E-03
        4000   0.2501E+00   0.2501E-03
        4010   0.2501E+00   0.2494E-03
        4020   0.2501E+00   0.2488E-03
        4030   0.2501E+00   0.2482E-03
        4040   0.2501E+00   0.2476E-03
        4050   0.2501E+00   0.2470E-03
        4060   0.2501E+00   0.2464E-03
        4070   0.2501E+00   0.2458E-03
        4080   0.2501E+00   0.2452E-03
        4090   0.2501E+00   0.2446E-03
        4100   0.2501E+00   0.2440E-03
        4110   0.2501E+00   0.2434E-03
        4120   0.2501E+00   0.2428E-03
        4130   0.2501E+00   0.2422E-03
        4140   0.2501E+00   0.2416E-03
        4150   0.2501E+00   0.2410E-03
        4160   0.2501E+00   0.2404E-03
        4170   0.2501E+00   0.2399E-03
        4180   0.2501E+00   0.2393E-03
        4190   0.2501E+00   0.2387E-03
        4200   0.2501E+00   0.2382E-03
        4210   0.2501E+00   0.2376E-03
        4220   0.2501E+00   0.2370E-03
        4230   0.2501E+00   0.2365E-03
        4240   0.2501E+00   0.2359E-03
        4250   0.2501E+00   0.2353E-03
        4260   0.2501E+00   0.2348E-03
        4270   0.2501E+00   0.2342E-03
        4280   0.2501E+00   0.2337E-03
        4290   0.2501E+00   0.2332E-03
        4300   0.2501E+00   0.2326E-03
        4310   0.2501E+00   0.2321E-03
        4320   0.2501E+00   0.2315E-03
        4330   0.2501E+00   0.2310E-03
        4340   0.2501E+00   0.2305E-03
        4350   0.2501E+00   0.2299E-03
        4360   0.2501E+00   0.2294E-03
        4370   0.2501E+00   0.2289E-03
        4380   0.2501E+00   0.2284E-03
        4390   0.2501E+00   0.2278E-03
        4400   0.2501E+00   0.2273E-03
        4410   0.2501E+00   0.2268E-03
        4420   0.2501E+00   0.2263E-03
        4430   0.2501E+00   0.2258E-03
        4440   0.2501E+00   0.2253E-03
        4450   0.2501E+00   0.2248E-03
        4460   0.2501E+00   0.2243E-03
        4470   0.2501E+00   0.2238E-03
        4480   0.2501E+00   0.2233E-03
        4490   0.2501E+00   0.2228E-03
        4500   0.2501E+00   0.2223E-03
        4510   0.2501E+00   0.2218E-03
        4520   0.2501E+00   0.2213E-03
        4530   0.2501E+00   0.2208E-03
        4540   0.2501E+00   0.2203E-03
        4550   0.2501E+00   0.2198E-03
        4560   0.2501E+00   0.2193E-03
        4570   0.2501E+00   0.2189E-03
        4580   0.2501E+00   0.2184E-03
        4590   0.2501E+00   0.2179E-03
