     MC_step       U_adim       M_adim
         322  -0.1240E+04   0.7000E-01
         323  -0.1292E+04   0.3875E-01
         324  -0.1296E+04   0.1125E-01
         325  -0.1332E+04   0.7625E-01
         326  -0.1264E+04   0.7875E-01
         327  -0.1192E+04   0.4875E-01
         328  -0.1288E+04   0.7250E-01
         329  -0.1336E+04   0.8125E-01
         330  -0.1316E+04   0.3000E-01
         331  -0.1308E+04   0.8375E-01
         332  -0.1208E+04   0.9625E-01
         333  -0.1300E+04   0.7125E-01
         334  -0.1284E+04   0.3625E-01
         335  -0.1228E+04   0.2375E-01
         336  -0.1300E+04   0.2875E-01
         337  -0.1272E+04   0.4000E-01
         338  -0.1324E+04   0.5875E-01
         339  -0.1356E+04   0.6000E-01
         340  -0.1284E+04   0.1050E+00
         341  -0.1368E+04   0.1313E+00
         342  -0.1164E+04   0.1562E+00
         343  -0.1264E+04   0.1100E+00
         344  -0.1208E+04   0.6750E-01
         345  -0.1288E+04   0.7000E-01
         346  -0.1304E+04   0.3125E-01
         347  -0.1228E+04   0.1500E-01
         348  -0.1216E+04   0.7625E-01
         349  -0.1360E+04   0.6000E-01
         350  -0.1340E+04   0.6625E-01
         351  -0.1312E+04   0.4000E-01
         352  -0.1344E+04   0.8875E-01
         353  -0.1320E+04   0.6875E-01
         354  -0.1332E+04   0.6000E-01
         355  -0.1292E+04   0.6375E-01
         356  -0.1300E+04   0.2500E-01
         357  -0.1284E+04   0.1062E+00
         358  -0.1256E+04   0.4500E-01
         359  -0.1236E+04   0.5375E-01
         360  -0.1400E+04   0.3000E-01
         361  -0.1324E+04   0.1125E-01
         362  -0.1396E+04   0.0000E+00
         363  -0.1264E+04   0.3375E-01
         364  -0.1244E+04   0.7250E-01
         365  -0.1224E+04   0.8625E-01
         366  -0.1388E+04   0.1013E+00
         367  -0.1300E+04   0.6750E-01
         368  -0.1224E+04   0.7625E-01
         369  -0.1184E+04   0.1188E+00
         370  -0.1324E+04   0.1150E+00
         371  -0.1412E+04   0.1425E+00
         372  -0.1448E+04   0.1562E+00
         373  -0.1328E+04   0.1200E+00
         374  -0.1228E+04   0.1125E+00
         375  -0.1200E+04   0.1000E+00
         376  -0.1208E+04   0.1200E+00
         377  -0.1244E+04   0.8625E-01
         378  -0.1200E+04   0.8500E-01
         379  -0.1192E+04   0.4000E-01
         380  -0.1296E+04   0.8375E-01
         381  -0.1312E+04   0.9125E-01
         382  -0.1328E+04   0.5125E-01
         383  -0.1224E+04   0.9375E-01
         384  -0.1296E+04   0.1138E+00
         385  -0.1344E+04   0.7250E-01
         386  -0.1208E+04   0.2125E-01
         387  -0.1228E+04   0.1125E-01
         388  -0.1232E+04   0.9250E-01
         389  -0.1156E+04   0.8750E-01
         390  -0.1304E+04   0.6125E-01
         391  -0.1304E+04   0.7000E-01
         392  -0.1364E+04   0.6875E-01
         393  -0.1340E+04   0.6875E-01
         394  -0.1188E+04   0.4750E-01
         395  -0.1088E+04   0.7750E-01
         396  -0.1228E+04   0.6125E-01
         397  -0.1272E+04   0.5125E-01
         398  -0.1084E+04   0.3625E-01
         399  -0.1192E+04   0.1250E-02
         400  -0.1224E+04   0.1375E-01
         401  -0.1332E+04   0.7250E-01
         402  -0.1208E+04   0.1163E+00
         403  -0.1204E+04   0.1100E+00
         404  -0.1188E+04   0.9625E-01
         405  -0.1268E+04   0.1338E+00
         406  -0.1280E+04   0.7250E-01
         407  -0.1184E+04   0.6875E-01
         408  -0.1100E+04   0.7500E-01
         409  -0.1260E+04   0.6000E-01
         410  -0.1248E+04   0.2875E-01
         411  -0.1016E+04   0.5250E-01
         412  -0.1084E+04   0.4875E-01
         413  -0.1032E+04   0.7500E-01
         414  -0.1024E+04   0.5500E-01
         415  -0.9880E+03   0.5500E-01
         416  -0.1104E+04   0.1125E+00
         417  -0.1124E+04   0.7125E-01
         418  -0.1120E+04   0.4000E-01
         419  -0.1180E+04   0.1188E+00
         420  -0.1268E+04   0.7250E-01
         421  -0.1152E+04   0.1300E+00
         422  -0.1260E+04   0.1125E+00
         423  -0.1276E+04   0.6875E-01
         424  -0.1252E+04   0.8625E-01
         425  -0.1264E+04   0.8875E-01
         426  -0.1268E+04   0.7125E-01
         427  -0.1276E+04   0.1200E+00
         428  -0.1244E+04   0.1150E+00
         429  -0.1188E+04   0.1138E+00
         430  -0.1120E+04   0.9875E-01
         431  -0.1056E+04   0.1313E+00
         432  -0.1168E+04   0.1487E+00
         433  -0.1172E+04   0.1713E+00
         434  -0.1252E+04   0.1675E+00
         435  -0.1292E+04   0.2137E+00
         436  -0.1220E+04   0.2313E+00
         437  -0.1364E+04   0.2725E+00
         438  -0.1352E+04   0.2388E+00
         439  -0.1264E+04   0.1588E+00
         440  -0.1312E+04   0.2063E+00
         441  -0.1428E+04   0.1575E+00
         442  -0.1428E+04   0.1462E+00
         443  -0.1412E+04   0.1562E+00
         444  -0.1280E+04   0.8375E-01
         445  -0.1348E+04   0.7375E-01
         446  -0.1228E+04   0.9125E-01
         447  -0.1288E+04   0.9750E-01
         448  -0.1380E+04   0.9500E-01
         449  -0.1200E+04   0.5750E-01
         450  -0.1224E+04   0.4250E-01
         451  -0.1288E+04   0.7750E-01
         452  -0.1244E+04   0.4250E-01
         453  -0.1292E+04   0.6125E-01
         454  -0.1184E+04   0.1313E+00
         455  -0.1224E+04   0.1138E+00
         456  -0.1272E+04   0.1212E+00
         457  -0.1288E+04   0.1100E+00
         458  -0.1280E+04   0.8500E-01
         459  -0.1296E+04   0.6000E-01
         460  -0.1200E+04   0.1250E-02
         461  -0.1312E+04   0.1375E-01
         462  -0.1276E+04   0.1250E-02
         463  -0.1232E+04   0.2500E-01
         464  -0.1296E+04   0.3500E-01
         465  -0.1252E+04   0.1625E-01
         466  -0.1364E+04   0.5000E-02
         467  -0.1212E+04   0.1500E-01
         468  -0.1192E+04   0.4625E-01
         469  -0.1276E+04   0.5000E-02
         470  -0.1256E+04   0.8750E-02
         471  -0.1296E+04   0.7500E-02
         472  -0.1212E+04   0.5375E-01
         473  -0.1340E+04   0.3000E-01
         474  -0.1296E+04   0.3125E-01
         475  -0.1292E+04   0.1125E-01
         476  -0.1264E+04   0.5125E-01
