    tau_corr   autocorr_U   autocorr_M
         449  -0.2600E-02  -0.3397E-02
         450  -0.4831E-02  -0.7028E-02
         451  -0.2978E-02  -0.3709E-02
         452   0.4604E-02  -0.4292E-04
         453  -0.3069E-02  -0.3732E-02
         454  -0.4967E-02  -0.7023E-02
         455  -0.2648E-02  -0.3557E-02
         456   0.4864E-02   0.9478E-04
         457  -0.3032E-02  -0.3842E-02
         458  -0.5202E-02  -0.7230E-02
         459  -0.3198E-02  -0.3767E-02
         460   0.4372E-02  -0.9948E-04
         461  -0.3150E-02  -0.3712E-02
         462  -0.5413E-02  -0.7116E-02
         463  -0.3464E-02  -0.3728E-02
         464   0.4415E-02   0.1525E-03
         465  -0.3042E-02  -0.3462E-02
         466  -0.5138E-02  -0.6812E-02
         467  -0.2983E-02  -0.3398E-02
         468   0.4574E-02   0.4322E-03
         469  -0.2832E-02  -0.3141E-02
         470  -0.4947E-02  -0.6484E-02
         471  -0.2793E-02  -0.3083E-02
         472   0.4955E-02   0.5784E-03
         473  -0.2467E-02  -0.3066E-02
         474  -0.4821E-02  -0.6590E-02
         475  -0.2794E-02  -0.3305E-02
         476   0.4738E-02   0.2417E-03
         477  -0.2735E-02  -0.3617E-02
         478  -0.4733E-02  -0.7013E-02
         479  -0.2659E-02  -0.3701E-02
         480   0.4386E-02  -0.2945E-03
         481  -0.3110E-02  -0.4077E-02
         482  -0.5301E-02  -0.7575E-02
         483  -0.3470E-02  -0.4306E-02
         484   0.4032E-02  -0.7452E-03
         485  -0.3497E-02  -0.4568E-02
         486  -0.6120E-02  -0.8265E-02
         487  -0.4032E-02  -0.4981E-02
         488   0.3401E-02  -0.1346E-02
         489  -0.4254E-02  -0.5230E-02
         490  -0.6530E-02  -0.8661E-02
         491  -0.4337E-02  -0.5281E-02
         492   0.2735E-02  -0.1901E-02
         493  -0.4804E-02  -0.5780E-02
         494  -0.7204E-02  -0.9362E-02
         495  -0.5410E-02  -0.6124E-02
         496   0.1964E-02  -0.2552E-02
         497  -0.5590E-02  -0.6409E-02
         498  -0.7913E-02  -0.9884E-02
         499  -0.5745E-02  -0.6629E-02
         500   0.1482E-02  -0.3147E-02
         501  -0.6499E-02  -0.6943E-02
         502  -0.8456E-02  -0.1033E-01
         503  -0.6327E-02  -0.6801E-02
         504   0.8317E-03  -0.3412E-02
         505  -0.6396E-02  -0.6939E-02
         506  -0.8516E-02  -0.1045E-01
         507  -0.6674E-02  -0.7162E-02
         508   0.7463E-03  -0.3649E-02
         509  -0.6921E-02  -0.7340E-02
         510  -0.8913E-02  -0.1069E-01
         511  -0.6663E-02  -0.7244E-02
         512   0.8077E-03  -0.3751E-02
         513  -0.6990E-02  -0.7460E-02
         514  -0.8829E-02  -0.1076E-01
         515  -0.6789E-02  -0.7249E-02
         516   0.7693E-03  -0.3596E-02
         517  -0.6616E-02  -0.7078E-02
         518  -0.8415E-02  -0.1025E-01
         519  -0.6291E-02  -0.6749E-02
         520   0.1452E-02  -0.2875E-02
         521  -0.6107E-02  -0.6357E-02
         522  -0.8009E-02  -0.9607E-02
         523  -0.6062E-02  -0.6173E-02
         524   0.1753E-02  -0.2338E-02
         525  -0.5853E-02  -0.6012E-02
         526  -0.7885E-02  -0.9482E-02
         527  -0.5843E-02  -0.6023E-02
         528   0.1637E-02  -0.2455E-02
         529  -0.5723E-02  -0.6029E-02
         530  -0.7629E-02  -0.9252E-02
         531  -0.5730E-02  -0.5977E-02
         532   0.1730E-02  -0.2522E-02
         533  -0.6075E-02  -0.6324E-02
         534  -0.8132E-02  -0.9677E-02
         535  -0.6164E-02  -0.6329E-02
         536   0.1490E-02  -0.2727E-02
         537  -0.6135E-02  -0.6346E-02
         538  -0.7939E-02  -0.9571E-02
         539  -0.6046E-02  -0.6227E-02
         540   0.1483E-02  -0.2675E-02
         541  -0.5956E-02  -0.6221E-02
         542  -0.8022E-02  -0.9722E-02
         543  -0.6274E-02  -0.6565E-02
         544   0.1284E-02  -0.2860E-02
         545  -0.6413E-02  -0.6543E-02
         546  -0.8271E-02  -0.9828E-02
         547  -0.6201E-02  -0.6266E-02
         548   0.1560E-02  -0.2589E-02
         549  -0.6229E-02  -0.6321E-02
         550  -0.8248E-02  -0.9657E-02
         551  -0.6325E-02  -0.6258E-02
         552   0.1140E-02  -0.2459E-02
         553  -0.6141E-02  -0.5873E-02
         554  -0.8150E-02  -0.8963E-02
         555  -0.6193E-02  -0.5787E-02
         556   0.1361E-02  -0.1964E-02
         557  -0.5985E-02  -0.5592E-02
         558  -0.8174E-02  -0.8954E-02
         559  -0.5872E-02  -0.5552E-02
         560   0.1469E-02  -0.1977E-02
         561  -0.5911E-02  -0.5678E-02
         562  -0.8209E-02  -0.9092E-02
         563  -0.5902E-02  -0.5687E-02
         564   0.1130E-02  -0.2162E-02
         565  -0.5704E-02  -0.5547E-02
         566  -0.8278E-02  -0.9130E-02
         567  -0.6072E-02  -0.5857E-02
         568   0.1340E-02  -0.2219E-02
         569  -0.6054E-02  -0.5908E-02
         570  -0.8397E-02  -0.9256E-02
         571  -0.5765E-02  -0.5529E-02
         572   0.1582E-02  -0.1884E-02
         573  -0.5808E-02  -0.5631E-02
         574  -0.7925E-02  -0.8798E-02
         575  -0.5624E-02  -0.5405E-02
         576   0.1381E-02  -0.1940E-02
         577  -0.5697E-02  -0.5471E-02
         578  -0.7941E-02  -0.8808E-02
         579  -0.5533E-02  -0.5513E-02
         580   0.1945E-02  -0.1770E-02
         581  -0.5205E-02  -0.5434E-02
         582  -0.7734E-02  -0.8984E-02
         583  -0.5245E-02  -0.5598E-02
         584   0.1938E-02  -0.2101E-02
         585  -0.5177E-02  -0.5684E-02
         586  -0.7188E-02  -0.8813E-02
         587  -0.4675E-02  -0.5317E-02
         588   0.2677E-02  -0.1633E-02
         589  -0.4275E-02  -0.5089E-02
         590  -0.6625E-02  -0.8486E-02
         591  -0.4270E-02  -0.5056E-02
         592   0.3153E-02  -0.1362E-02
         593  -0.4089E-02  -0.5032E-02
         594  -0.6475E-02  -0.8369E-02
         595  -0.3824E-02  -0.4984E-02
         596   0.3489E-02  -0.1239E-02
         597  -0.3753E-02  -0.4855E-02
         598  -0.6134E-02  -0.8196E-02
         599  -0.3732E-02  -0.4805E-02
         600   0.3551E-02  -0.1122E-02
         601  -0.3438E-02  -0.4600E-02
         602  -0.5757E-02  -0.7822E-02
         603  -0.3459E-02  -0.4397E-02
         604   0.3926E-02  -0.7859E-03
         605  -0.3204E-02  -0.4444E-02
         606  -0.5711E-02  -0.7862E-02
         607  -0.3293E-02  -0.4578E-02
         608   0.3969E-02  -0.8448E-03
         609  -0.3126E-02  -0.4377E-02
         610  -0.5472E-02  -0.7944E-02
         611  -0.3381E-02  -0.4819E-02
         612   0.3747E-02  -0.1341E-02
         613  -0.3553E-02  -0.5093E-02
         614  -0.5778E-02  -0.8417E-02
         615  -0.3506E-02  -0.5199E-02
         616   0.3771E-02  -0.1767E-02
         617  -0.3463E-02  -0.5423E-02
         618  -0.5966E-02  -0.8910E-02
         619  -0.3827E-02  -0.5721E-02
         620   0.3414E-02  -0.2103E-02
         621  -0.3754E-02  -0.5620E-02
         622  -0.6191E-02  -0.9032E-02
         623  -0.3773E-02  -0.5580E-02
         624   0.3516E-02  -0.1920E-02
         625  -0.3648E-02  -0.5595E-02
         626  -0.5970E-02  -0.8973E-02
         627  -0.3661E-02  -0.5674E-02
         628   0.3362E-02  -0.2159E-02
         629  -0.3796E-02  -0.5723E-02
         630  -0.6338E-02  -0.9361E-02
         631  -0.3728E-02  -0.5812E-02
         632   0.3493E-02  -0.2184E-02
         633  -0.3743E-02  -0.5651E-02
         634  -0.6005E-02  -0.9003E-02
         635  -0.3859E-02  -0.5654E-02
         636   0.3324E-02  -0.2079E-02
         637  -0.3521E-02  -0.5500E-02
         638  -0.6048E-02  -0.9112E-02
         639  -0.3409E-02  -0.5487E-02
         640   0.3997E-02  -0.1796E-02
         641  -0.3129E-02  -0.5328E-02
         642  -0.5452E-02  -0.8741E-02
         643  -0.3145E-02  -0.5288E-02
         644   0.4038E-02  -0.1601E-02
         645  -0.3143E-02  -0.4979E-02
         646  -0.5317E-02  -0.8301E-02
         647  -0.2884E-02  -0.4649E-02
         648   0.4359E-02  -0.1121E-02
         649  -0.2592E-02  -0.4418E-02
         650  -0.4827E-02  -0.7964E-02
         651  -0.2448E-02  -0.4482E-02
         652   0.4729E-02  -0.8117E-03
         653  -0.2703E-02  -0.4358E-02
         654  -0.4729E-02  -0.7599E-02
         655  -0.2439E-02  -0.4214E-02
         656   0.4945E-02  -0.6802E-03
         657  -0.2716E-02  -0.4377E-02
         658  -0.4781E-02  -0.7571E-02
         659  -0.2542E-02  -0.4157E-02
         660   0.4999E-02  -0.4201E-03
         661  -0.2415E-02  -0.4023E-02
         662  -0.4505E-02  -0.7470E-02
         663  -0.2345E-02  -0.4028E-02
         664   0.5016E-02  -0.4120E-03
         665  -0.2329E-02  -0.3960E-02
         666  -0.4471E-02  -0.7294E-02
         667  -0.2593E-02  -0.4015E-02
         668   0.4593E-02  -0.4988E-03
         669  -0.2741E-02  -0.4050E-02
         670  -0.4937E-02  -0.7322E-02
         671  -0.2834E-02  -0.3970E-02
         672   0.4510E-02  -0.2285E-03
         673  -0.2775E-02  -0.3867E-02
         674  -0.5199E-02  -0.7292E-02
         675  -0.3130E-02  -0.3923E-02
         676   0.4462E-02  -0.2605E-04
         677  -0.2664E-02  -0.3478E-02
         678  -0.4898E-02  -0.6671E-02
         679  -0.2764E-02  -0.3302E-02
