     MC_step       U_adim      U_error       M_adim      M_error
         266  -0.1180E+03   0.6347E-01   0.5100E+00   0.1698E-03
         267  -0.1020E+03   0.6335E-01   0.4700E+00   0.1701E-03
         268  -0.1180E+03   0.6326E-01   0.5700E+00   0.1708E-03
         269  -0.1220E+03   0.6319E-01   0.6700E+00   0.1720E-03
         270  -0.1300E+03   0.6314E-01   0.6300E+00   0.1729E-03
         271  -0.1340E+03   0.6310E-01   0.6700E+00   0.1741E-03
         272  -0.1060E+03   0.6298E-01   0.5900E+00   0.1748E-03
         273  -0.1140E+03   0.6289E-01   0.5900E+00   0.1755E-03
         274  -0.1260E+03   0.6283E-01   0.5700E+00   0.1761E-03
         275  -0.1300E+03   0.6278E-01   0.5500E+00   0.1766E-03
         276  -0.1380E+03   0.6275E-01   0.6300E+00   0.1774E-03
         277  -0.1380E+03   0.6272E-01   0.6300E+00   0.1782E-03
         278  -0.1340E+03   0.6267E-01   0.6900E+00   0.1793E-03
         279  -0.1300E+03   0.6262E-01   0.6900E+00   0.1804E-03
         280  -0.1340E+03   0.6258E-01   0.7300E+00   0.1816E-03
         281  -0.1100E+03   0.6248E-01   0.5100E+00   0.1819E-03
         282  -0.1100E+03   0.6238E-01   0.5700E+00   0.1824E-03
         283  -0.1100E+03   0.6228E-01   0.5300E+00   0.1827E-03
         284  -0.1020E+03   0.6216E-01   0.3900E+00   0.1826E-03
         285  -0.1140E+03   0.6207E-01   0.4300E+00   0.1826E-03
         286  -0.9400E+02   0.6194E-01   0.3700E+00   0.1824E-03
         287  -0.9800E+02   0.6182E-01   0.3100E+00   0.1821E-03
         288  -0.1180E+03   0.6174E-01   0.3900E+00   0.1819E-03
         289  -0.1220E+03   0.6167E-01   0.3500E+00   0.1817E-03
         290  -0.1460E+03   0.6166E-01   0.5100E+00   0.1819E-03
         291  -0.1380E+03   0.6163E-01   0.4700E+00   0.1820E-03
         292  -0.1260E+03   0.6157E-01   0.4500E+00   0.1821E-03
         293  -0.1140E+03   0.6148E-01   0.3500E+00   0.1818E-03
         294  -0.1180E+03   0.6140E-01   0.3700E+00   0.1817E-03
         295  -0.8600E+02   0.6126E-01   0.3900E+00   0.1815E-03
         296  -0.9400E+02   0.6114E-01   0.2500E+00   0.1811E-03
         297  -0.7000E+02   0.6097E-01   0.2100E+00   0.1806E-03
         298  -0.7000E+02   0.6081E-01   0.1300E+00   0.1801E-03
         299  -0.8200E+02   0.6067E-01   0.1900E+00   0.1796E-03
         300  -0.7800E+02   0.6053E-01   0.2900E+00   0.1793E-03
         301  -0.7000E+02   0.6037E-01   0.2300E+00   0.1788E-03
         302  -0.6600E+02   0.6021E-01  -0.3000E-01   0.1782E-03
         303  -0.9000E+02   0.6008E-01  -0.7000E-01   0.1777E-03
         304  -0.9400E+02   0.5996E-01  -0.5000E-01   0.1771E-03
         305  -0.9000E+02   0.5984E-01   0.7000E-01   0.1765E-03
         306  -0.6600E+02   0.5968E-01   0.1000E-01   0.1760E-03
         307  -0.9400E+02   0.5957E-01  -0.1000E-01   0.1754E-03
         308  -0.9800E+02   0.5946E-01   0.7000E-01   0.1748E-03
         309  -0.8600E+02   0.5933E-01  -0.5000E-01   0.1743E-03
         310  -0.7800E+02   0.5919E-01  -0.5000E-01   0.1737E-03
         311  -0.6600E+02   0.5904E-01  -0.1300E+00   0.1732E-03
         312  -0.7000E+02   0.5889E-01  -0.7000E-01   0.1727E-03
         313  -0.6200E+02   0.5874E-01  -0.2500E+00   0.1723E-03
         314  -0.7400E+02   0.5860E-01  -0.1900E+00   0.1719E-03
         315  -0.8600E+02   0.5847E-01  -0.1900E+00   0.1714E-03
         316  -0.9400E+02   0.5836E-01  -0.3300E+00   0.1712E-03
         317  -0.1140E+03   0.5829E-01  -0.3100E+00   0.1709E-03
         318  -0.1260E+03   0.5824E-01  -0.4300E+00   0.1709E-03
         319  -0.1060E+03   0.5815E-01  -0.2900E+00   0.1706E-03
         320  -0.7400E+02   0.5802E-01  -0.1300E+00   0.1701E-03
         321  -0.8200E+02   0.5789E-01  -0.2100E+00   0.1697E-03
         322  -0.7400E+02   0.5776E-01  -0.1900E+00   0.1693E-03
