     MC_step       U_adim       M_adim
         273  -0.4492E+04   0.1938E+00
         274  -0.4352E+04   0.1762E+00
         275  -0.4400E+04   0.1113E+00
         276  -0.4288E+04   0.8875E-01
         277  -0.4320E+04   0.1750E+00
         278  -0.4356E+04   0.2250E-01
         279  -0.4304E+04   0.1963E+00
         280  -0.4356E+04   0.1175E+00
         281  -0.4344E+04   0.5875E-01
         282  -0.4256E+04   0.9375E-01
         283  -0.4208E+04   0.2125E-01
         284  -0.4296E+04   0.1038E+00
         285  -0.4332E+04   0.1562E+00
         286  -0.4152E+04   0.2125E-01
         287  -0.4260E+04   0.7375E-01
         288  -0.4164E+04   0.3375E-01
         289  -0.4204E+04   0.8125E-01
         290  -0.4084E+04   0.8500E-01
         291  -0.4220E+04   0.1150E+00
         292  -0.4212E+04   0.7250E-01
         293  -0.4172E+04   0.3625E-01
         294  -0.4176E+04   0.1000E+00
         295  -0.4092E+04   0.1225E+00
         296  -0.4176E+04   0.2313E+00
         297  -0.4128E+04   0.1512E+00
         298  -0.4120E+04   0.1163E+00
         299  -0.4244E+04   0.3500E-01
         300  -0.4200E+04   0.3250E-01
         301  -0.4204E+04   0.1250E+00
         302  -0.4324E+04   0.5250E-01
         303  -0.4356E+04   0.1537E+00
         304  -0.4336E+04   0.1125E+00
         305  -0.4256E+04   0.1975E+00
         306  -0.4268E+04   0.1812E+00
         307  -0.4296E+04   0.1487E+00
         308  -0.4212E+04   0.1113E+00
         309  -0.4208E+04   0.6875E-01
         310  -0.4152E+04   0.5125E-01
         311  -0.4168E+04   0.5375E-01
         312  -0.4160E+04   0.1400E+00
         313  -0.4224E+04   0.9750E-01
         314  -0.4232E+04   0.3250E-01
         315  -0.4132E+04   0.5500E-01
         316  -0.4132E+04   0.1487E+00
         317  -0.4216E+04   0.1013E+00
         318  -0.4248E+04   0.1125E+00
         319  -0.4332E+04   0.2000E+00
         320  -0.4332E+04   0.1338E+00
         321  -0.4432E+04   0.2075E+00
         322  -0.4364E+04   0.1363E+00
         323  -0.4452E+04   0.1450E+00
         324  -0.4392E+04   0.1375E+00
         325  -0.4412E+04   0.1062E+00
         326  -0.4364E+04   0.6750E-01
         327  -0.4320E+04   0.1650E+00
         328  -0.4380E+04   0.1350E+00
         329  -0.4332E+04   0.1138E+00
         330  -0.4308E+04   0.1150E+00
         331  -0.4356E+04   0.1775E+00
         332  -0.4436E+04   0.1375E+00
         333  -0.4464E+04   0.2288E+00
         334  -0.4528E+04   0.1913E+00
         335  -0.4372E+04   0.1300E+00
         336  -0.4348E+04   0.1263E+00
         337  -0.4332E+04   0.1388E+00
         338  -0.4416E+04   0.1188E+00
         339  -0.4324E+04   0.1350E+00
         340  -0.4320E+04   0.1237E+00
         341  -0.4292E+04   0.3500E-01
         342  -0.4356E+04   0.5500E-01
         343  -0.4348E+04   0.1388E+00
         344  -0.4408E+04   0.1113E+00
         345  -0.4396E+04   0.1100E+00
         346  -0.4404E+04   0.3125E-01
         347  -0.4316E+04   0.9375E-01
         348  -0.4424E+04   0.1250E-02
         349  -0.4320E+04   0.0000E+00
         350  -0.4376E+04   0.2300E+00
         351  -0.4392E+04   0.2038E+00
         352  -0.4356E+04   0.1613E+00
         353  -0.4396E+04   0.1350E+00
         354  -0.4428E+04   0.1363E+00
         355  -0.4396E+04   0.7500E-01
         356  -0.4364E+04   0.1150E+00
         357  -0.4444E+04   0.8125E-01
         358  -0.4412E+04   0.1338E+00
         359  -0.4352E+04   0.1150E+00
         360  -0.4356E+04   0.1250E+00
         361  -0.4416E+04   0.2063E+00
         362  -0.4408E+04   0.1500E+00
         363  -0.4472E+04   0.1588E+00
         364  -0.4504E+04   0.2213E+00
         365  -0.4544E+04   0.2225E+00
         366  -0.4556E+04   0.2725E+00
         367  -0.4496E+04   0.1425E+00
         368  -0.4528E+04   0.2487E+00
         369  -0.4572E+04   0.2787E+00
         370  -0.4572E+04   0.2300E+00
         371  -0.4412E+04   0.1475E+00
         372  -0.4324E+04   0.1738E+00
         373  -0.4328E+04   0.1600E+00
         374  -0.4340E+04   0.2462E+00
         375  -0.4312E+04   0.1950E+00
         376  -0.4508E+04   0.1700E+00
         377  -0.4380E+04   0.1275E+00
         378  -0.4400E+04   0.9750E-01
         379  -0.4380E+04   0.7375E-01
         380  -0.4292E+04   0.4250E-01
         381  -0.4300E+04   0.7000E-01
         382  -0.4440E+04   0.5250E-01
         383  -0.4416E+04   0.5875E-01
         384  -0.4416E+04   0.1475E+00
         385  -0.4448E+04   0.2188E+00
         386  -0.4428E+04   0.1275E+00
         387  -0.4452E+04   0.1325E+00
         388  -0.4452E+04   0.7625E-01
         389  -0.4516E+04   0.8375E-01
         390  -0.4444E+04   0.6625E-01
         391  -0.4332E+04   0.3000E-01
         392  -0.4396E+04   0.1125E-01
         393  -0.4492E+04   0.8250E-01
         394  -0.4500E+04   0.2087E+00
         395  -0.4520E+04   0.1950E+00
         396  -0.4436E+04   0.1688E+00
         397  -0.4292E+04   0.9375E-01
         398  -0.4368E+04   0.1288E+00
         399  -0.4432E+04   0.1562E+00
         400  -0.4484E+04   0.1837E+00
         401  -0.4368E+04   0.5250E-01
         402  -0.4460E+04   0.1613E+00
         403  -0.4464E+04   0.2288E+00
         404  -0.4408E+04   0.2375E+00
         405  -0.4284E+04   0.1375E+00
         406  -0.4412E+04   0.7375E-01
         407  -0.4448E+04   0.1775E+00
         408  -0.4400E+04   0.1487E+00
         409  -0.4384E+04   0.1438E+00
         410  -0.4420E+04   0.1100E+00
         411  -0.4372E+04   0.2500E-02
         412  -0.4472E+04   0.1138E+00
         413  -0.4492E+04   0.6500E-01
         414  -0.4428E+04   0.5625E-01
         415  -0.4440E+04   0.1338E+00
         416  -0.4460E+04   0.1738E+00
         417  -0.4404E+04   0.2325E+00
         418  -0.4440E+04   0.2375E+00
         419  -0.4408E+04   0.2238E+00
         420  -0.4304E+04   0.1075E+00
         421  -0.4292E+04   0.4875E-01
         422  -0.4288E+04   0.3750E-01
         423  -0.4432E+04   0.2375E-01
         424  -0.4324E+04   0.7375E-01
         425  -0.4280E+04   0.6625E-01
         426  -0.4368E+04   0.2188E+00
         427  -0.4336E+04   0.1087E+00
         428  -0.4264E+04   0.1438E+00
         429  -0.4400E+04   0.1188E+00
         430  -0.4348E+04   0.1950E+00
         431  -0.4352E+04   0.1350E+00
         432  -0.4424E+04   0.1875E+00
         433  -0.4256E+04   0.1188E+00
         434  -0.4360E+04   0.1613E+00
         435  -0.4348E+04   0.2288E+00
         436  -0.4280E+04   0.2050E+00
         437  -0.4356E+04   0.1050E+00
         438  -0.4364E+04   0.2112E+00
         439  -0.4388E+04   0.1550E+00
         440  -0.4308E+04   0.1300E+00
         441  -0.4496E+04   0.1450E+00
         442  -0.4412E+04   0.1013E+00
         443  -0.4364E+04   0.1588E+00
         444  -0.4340E+04   0.1525E+00
         445  -0.4396E+04   0.7375E-01
         446  -0.4424E+04   0.7875E-01
         447  -0.4436E+04   0.9625E-01
         448  -0.4556E+04   0.1375E+00
         449  -0.4416E+04   0.5625E-01
         450  -0.4404E+04   0.1400E+00
         451  -0.4480E+04   0.1075E+00
         452  -0.4352E+04   0.1125E+00
         453  -0.4424E+04   0.3375E-01
         454  -0.4324E+04   0.1787E+00
         455  -0.4392E+04   0.1438E+00
         456  -0.4352E+04   0.1800E+00
         457  -0.4364E+04   0.1588E+00
         458  -0.4316E+04   0.1750E+00
         459  -0.4356E+04   0.2363E+00
         460  -0.4436E+04   0.1613E+00
         461  -0.4392E+04   0.1600E+00
         462  -0.4344E+04   0.1050E+00
         463  -0.4428E+04   0.6875E-01
         464  -0.4472E+04   0.1175E+00
         465  -0.4432E+04   0.1300E+00
         466  -0.4412E+04   0.1650E+00
         467  -0.4324E+04   0.1400E+00
         468  -0.4484E+04   0.1338E+00
         469  -0.4428E+04   0.1113E+00
         470  -0.4336E+04   0.7500E-01
         471  -0.4352E+04   0.2500E-01
         472  -0.4324E+04   0.6500E-01
         473  -0.4344E+04   0.1062E+00
         474  -0.4352E+04   0.1613E+00
         475  -0.4432E+04   0.1537E+00
         476  -0.4336E+04   0.1688E+00
         477  -0.4392E+04   0.1175E+00
         478  -0.4336E+04   0.1087E+00
         479  -0.4272E+04   0.9000E-01
         480  -0.4352E+04   0.1363E+00
         481  -0.4384E+04   0.1188E+00
         482  -0.4324E+04   0.1113E+00
         483  -0.4184E+04   0.1263E+00
         484  -0.4320E+04   0.2250E-01
         485  -0.4360E+04   0.7500E-01
         486  -0.4408E+04   0.1000E+00
         487  -0.4344E+04   0.3375E-01
         488  -0.4400E+04   0.1025E+00
         489  -0.4356E+04   0.1438E+00
         490  -0.4312E+04   0.1100E+00
         491  -0.4244E+04   0.3250E-01
         492  -0.4268E+04   0.9750E-01
         493  -0.4376E+04   0.2075E+00
         494  -0.4376E+04   0.9625E-01
         495  -0.4400E+04   0.1225E+00
         496  -0.4488E+04   0.9625E-01
         497  -0.4372E+04   0.1875E-01
         498  -0.4388E+04   0.3000E-01
         499  -0.4368E+04   0.2125E+00
         500  -0.4304E+04   0.1425E+00
