          fx           fy           fz
  0.1235E-14  -0.2637E-15  -0.2068E-14
 -0.6252E-14   0.1041E-14  -0.1693E-14
 -0.5336E-14   0.3886E-15   0.1184E-13
  0.8604E-15   0.2276E-14   0.1193E-13
  0.3469E-15  -0.9090E-15  -0.6245E-14
 -0.7092E-14  -0.5759E-14  -0.5732E-14
 -0.3830E-14   0.1221E-14  -0.1242E-14
  0.1332E-14  -0.5190E-14  -0.7147E-15
  0.2193E-14   0.8396E-15   0.1180E-15
 -0.4857E-14  -0.7085E-14   0.0000E+00
 -0.5405E-14   0.1318E-14   0.6870E-15
 -0.6245E-15  -0.4739E-14   0.1048E-14
  0.2082E-15   0.8674E-15   0.4094E-15
 -0.5634E-14  -0.6536E-14   0.5690E-15
 -0.4691E-14   0.1943E-14  -0.4795E-14
  0.2109E-14  -0.5773E-14  -0.4940E-14
  0.1291E-14   0.8396E-15  -0.1846E-14
 -0.4920E-14  -0.4038E-14  -0.1929E-14
 -0.4580E-14   0.1887E-14   0.1209E-13
  0.1665E-14  -0.5579E-14   0.1182E-13
  0.6384E-15  -0.2262E-14  -0.5579E-14
 -0.5329E-14   0.1239E-13  -0.5551E-14
 -0.4448E-14  -0.1978E-14  -0.1429E-14
  0.1790E-14   0.1295E-13  -0.1596E-14
  0.6800E-15  -0.1804E-14   0.3886E-15
 -0.5336E-14   0.1311E-13   0.1110E-15
 -0.4129E-14  -0.1450E-14   0.1429E-14
  0.2248E-14   0.1079E-13   0.1818E-14
  0.1402E-14  -0.1527E-14   0.9506E-15
 -0.3747E-14   0.1202E-13   0.6106E-15
 -0.5537E-14  -0.1436E-14  -0.5052E-14
  0.2054E-14   0.1246E-13  -0.5829E-14
  0.6661E-15  -0.9159E-15  -0.1811E-14
 -0.5329E-14   0.1229E-13  -0.1998E-14
 -0.4219E-14  -0.1554E-14   0.1140E-13
  0.2109E-14   0.1276E-13   0.1199E-13
 -0.3227E-14  -0.5551E-14  -0.5551E-14
  0.1392E-13  -0.3150E-14  -0.5454E-14
  0.1405E-13  -0.5551E-14  -0.2276E-14
 -0.3345E-14  -0.2012E-14  -0.1874E-14
 -0.3095E-14  -0.4594E-14   0.1388E-15
  0.1475E-13  -0.3712E-14   0.2984E-15
  0.1319E-13  -0.5163E-14   0.1971E-14
 -0.1735E-14  -0.2630E-14   0.1762E-14
 -0.2456E-14  -0.5718E-14   0.1027E-14
  0.1499E-13  -0.2005E-14   0.6870E-15
  0.1344E-13  -0.5169E-14  -0.6356E-14
