           i     pot_ergy     kin_ergy
  0.1315E+01   0.0000E+00   0.6445E-02
  0.1320E+01   0.0000E+00   0.6445E-02
  0.1325E+01   0.0000E+00   0.6445E-02
  0.1330E+01   0.0000E+00   0.6445E-02
  0.1335E+01   0.0000E+00   0.6445E-02
  0.1340E+01  -0.6454E-04   0.6445E-02
  0.1345E+01  -0.6573E-04   0.6445E-02
  0.1350E+01  -0.6692E-04   0.6445E-02
  0.1355E+01  -0.6811E-04   0.6445E-02
  0.1360E+01  -0.6930E-04   0.6444E-02
  0.1365E+01  -0.7048E-04   0.6444E-02
  0.1370E+01  -0.7167E-04   0.6444E-02
  0.1375E+01  -0.7284E-04   0.6444E-02
  0.1380E+01  -0.7402E-04   0.6443E-02
  0.1385E+01  -0.7518E-04   0.6443E-02
  0.1390E+01   0.0000E+00   0.6443E-02
  0.1395E+01  -0.3119E-03   0.6443E-02
  0.1400E+01  -0.3197E-03   0.6441E-02
  0.1405E+01  -0.3275E-03   0.6440E-02
  0.1410E+01  -0.4003E-03   0.6438E-02
  0.1415E+01  -0.3429E-03   0.6436E-02
  0.1420E+01  -0.4415E-03   0.6435E-02
  0.1425E+01  -0.4499E-03   0.6433E-02
  0.1430E+01  -0.4582E-03   0.6432E-02
  0.1435E+01  -0.4663E-03   0.6430E-02
  0.1440E+01  -0.4743E-03   0.6429E-02
  0.1445E+01  -0.4821E-03   0.6427E-02
  0.1450E+01  -0.4898E-03   0.6425E-02
  0.1455E+01  -0.4972E-03   0.6424E-02
  0.1460E+01  -0.5044E-03   0.6422E-02
  0.1465E+01  -0.5113E-03   0.6421E-02
  0.1470E+01  -0.5180E-03   0.6420E-02
  0.1475E+01  -0.5243E-03   0.6418E-02
  0.1480E+01  -0.5304E-03   0.6417E-02
  0.1485E+01  -0.5361E-03   0.6415E-02
  0.1490E+01  -0.5415E-03   0.6413E-02
  0.1495E+01  -0.5465E-03   0.6412E-02
  0.1500E+01  -0.5511E-03   0.6410E-02
  0.1505E+01  -0.5554E-03   0.6408E-02
  0.1510E+01  -0.5592E-03   0.6406E-02
  0.1515E+01  -0.5626E-03   0.6405E-02
  0.1520E+01  -0.5656E-03   0.6403E-02
  0.1525E+01  -0.5681E-03   0.6402E-02
  0.1530E+01  -0.5702E-03   0.6400E-02
  0.1535E+01  -0.5718E-03   0.6398E-02
  0.1540E+01  -0.5730E-03   0.6397E-02
  0.1545E+01  -0.5737E-03   0.6396E-02
  0.1550E+01  -0.5740E-03   0.6394E-02
  0.1555E+01  -0.5738E-03   0.6393E-02
  0.1560E+01  -0.5731E-03   0.6392E-02
  0.1565E+01  -0.5720E-03   0.6390E-02
  0.1570E+01  -0.5705E-03   0.6389E-02
  0.1575E+01  -0.5685E-03   0.6388E-02
  0.1580E+01  -0.5661E-03   0.6387E-02
  0.1585E+01  -0.5632E-03   0.6386E-02
  0.1590E+01  -0.5600E-03   0.6385E-02
  0.1595E+01  -0.5563E-03   0.6384E-02
  0.1600E+01  -0.5523E-03   0.6383E-02
  0.1605E+01  -0.5479E-03   0.6382E-02
  0.1610E+01  -0.5432E-03   0.6380E-02
  0.1615E+01  -0.5381E-03   0.6379E-02
  0.1620E+01  -0.5327E-03   0.6378E-02
  0.1625E+01  -0.5270E-03   0.6377E-02
  0.1630E+01  -0.5210E-03   0.6377E-02
  0.1635E+01  -0.6897E-04   0.6376E-02
  0.1640E+01  -0.6657E-04   0.6376E-02
  0.1645E+01  -0.6426E-04   0.6376E-02
  0.1650E+01   0.0000E+00   0.6376E-02
  0.1655E+01   0.0000E+00   0.6376E-02
  0.1660E+01   0.0000E+00   0.6376E-02
  0.1665E+01   0.0000E+00   0.6376E-02
  0.1670E+01   0.0000E+00   0.6376E-02
  0.1675E+01   0.0000E+00   0.6376E-02
  0.1680E+01   0.0000E+00   0.6376E-02
  0.1685E+01   0.0000E+00   0.6376E-02
  0.1690E+01   0.0000E+00   0.6376E-02
  0.1695E+01   0.0000E+00   0.6376E-02
  0.1700E+01   0.0000E+00   0.6376E-02
  0.1705E+01   0.0000E+00   0.6376E-02
  0.1710E+01   0.0000E+00   0.6376E-02
  0.1715E+01   0.0000E+00   0.6376E-02
  0.1720E+01   0.0000E+00   0.6376E-02
  0.1725E+01   0.0000E+00   0.6376E-02
  0.1730E+01   0.0000E+00   0.6376E-02
  0.1735E+01   0.0000E+00   0.6376E-02
  0.1740E+01  -0.2683E-03   0.6375E-02
  0.1745E+01  -0.2616E-03   0.6375E-02
  0.1750E+01  -0.2549E-03   0.6374E-02
  0.1755E+01  -0.2483E-03   0.6373E-02
  0.1760E+01  -0.2418E-03   0.6373E-02
  0.1765E+01  -0.2354E-03   0.6372E-02
  0.1770E+01  -0.2290E-03   0.6371E-02
  0.1775E+01  -0.2228E-03   0.6370E-02
  0.1780E+01  -0.2166E-03   0.6370E-02
  0.1785E+01  -0.2105E-03   0.6369E-02
  0.1790E+01  -0.2046E-03   0.6368E-02
  0.1795E+01  -0.1987E-03   0.6367E-02
  0.1800E+01  -0.1930E-03   0.6367E-02
  0.1805E+01  -0.1873E-03   0.6366E-02
  0.1810E+01  -0.1818E-03   0.6365E-02
  0.1815E+01  -0.1764E-03   0.6365E-02
  0.1820E+01  -0.1711E-03   0.6364E-02
  0.1825E+01  -0.1660E-03   0.6363E-02
  0.1830E+01  -0.1609E-03   0.6363E-02
  0.1835E+01  -0.1560E-03   0.6362E-02
  0.1840E+01  -0.1512E-03   0.6362E-02
  0.1845E+01  -0.1465E-03   0.6361E-02
  0.1850E+01  -0.1419E-03   0.6361E-02
  0.1855E+01  -0.1374E-03   0.6360E-02
  0.1860E+01  -0.1331E-03   0.6360E-02
  0.1865E+01  -0.1289E-03   0.6359E-02
  0.1870E+01  -0.1248E-03   0.6359E-02
  0.1875E+01  -0.1208E-03   0.6358E-02
  0.1880E+01  -0.1169E-03   0.6358E-02
  0.1885E+01  -0.1131E-03   0.6357E-02
  0.1890E+01  -0.1094E-03   0.6357E-02
  0.1895E+01  -0.1059E-03   0.6357E-02
  0.1900E+01  -0.1024E-03   0.6356E-02
  0.1905E+01  -0.9908E-04   0.6356E-02
  0.1910E+01  -0.9583E-04   0.6356E-02
  0.1915E+01  -0.9268E-04   0.6355E-02
  0.1920E+01  -0.8963E-04   0.6355E-02
  0.1925E+01  -0.8667E-04   0.6355E-02
  0.1930E+01  -0.8380E-04   0.6355E-02
  0.1935E+01  -0.8103E-04   0.6354E-02
  0.1940E+01  -0.7834E-04   0.6354E-02
  0.1945E+01  -0.7574E-04   0.6354E-02
  0.1950E+01  -0.7323E-04   0.6354E-02
  0.1955E+01  -0.7079E-04   0.6353E-02
  0.1960E+01  -0.6844E-04   0.6353E-02
  0.1965E+01  -0.6616E-04   0.6353E-02
  0.1970E+01  -0.6396E-04   0.6353E-02
  0.1975E+01   0.0000E+00   0.6353E-02
  0.1980E+01   0.0000E+00   0.6353E-02
  0.1985E+01   0.0000E+00   0.6353E-02
  0.1990E+01   0.0000E+00   0.6353E-02
  0.1995E+01   0.0000E+00   0.6353E-02
  0.2000E+01   0.0000E+00   0.6353E-02
  0.2005E+01   0.0000E+00   0.6353E-02
  0.2010E+01   0.0000E+00   0.6353E-02
  0.2015E+01   0.0000E+00   0.6353E-02
  0.2020E+01   0.0000E+00   0.6353E-02
  0.2025E+01   0.0000E+00   0.6353E-02
  0.2030E+01   0.0000E+00   0.6353E-02
