          vx        p(vx)           vy        p(vy)           vz        p(vz)        v_tot      p(vtot)
  0.9672E+00   0.2486E+00   0.1001E+01   0.2412E+00   0.1217E+01   0.1939E+00   0.1849E+01   0.4998E+00
  0.5501E+00   0.3315E+00   0.9271E+00   0.2574E+00  -0.5782E+00   0.3267E+00   0.1223E+01   0.5242E+00
 -0.5792E+00   0.3266E+00   0.8317E+00   0.2778E+00  -0.3558E+00   0.3591E+00   0.1074E+01   0.4723E+00
 -0.5871E+00   0.3252E+00   0.1229E+01   0.1915E+00  -0.1464E+01   0.1435E+00   0.2000E+01   0.4491E+00
 -0.1091E+01   0.2214E+00  -0.1697E+01   0.1028E+00   0.9909E+00   0.2434E+00   0.2247E+01   0.3517E+00
  0.1042E+01   0.2323E+00   0.1280E+01   0.1806E+00  -0.1903E+01   0.7337E-01   0.2519E+01   0.2454E+00
  0.3524E+00   0.3595E+00   0.5032E+00   0.3390E+00  -0.1544E+01   0.1286E+00   0.1662E+01   0.5443E+00
  0.1372E+01   0.1616E+00   0.8926E+00   0.2648E+00   0.1020E+01   0.2371E+00   0.1929E+01   0.4742E+00
 -0.1598E+00   0.3760E+00  -0.3265E+00   0.3624E+00  -0.1235E+01   0.1902E+00   0.1287E+01   0.5396E+00
 -0.3613E+00   0.3585E+00  -0.3343E+00   0.3615E+00  -0.1096E+01   0.2204E+00   0.1201E+01   0.5179E+00
 -0.3936E+00   0.3545E+00  -0.6867E+00   0.3070E+00   0.9119E+00   0.2606E+00   0.1207E+01   0.5197E+00
  0.1514E+01   0.1343E+00   0.3049E-01   0.3802E+00  -0.2827E+00   0.3668E+00   0.1540E+01   0.5581E+00
 -0.1093E+01   0.2209E+00   0.1560E+01   0.1258E+00   0.4154E+00   0.3517E+00   0.1950E+01   0.4670E+00
  0.1163E+01   0.2057E+00   0.3371E+00   0.3612E+00   0.6373E+00   0.3163E+00   0.1368E+01   0.5529E+00
 -0.7364E+00   0.2973E+00   0.1994E+00   0.3736E+00   0.1382E+01   0.1597E+00   0.1579E+01   0.5552E+00
  0.3260E+00   0.3624E+00   0.6419E+00   0.3154E+00   0.1640E+01   0.1121E+00   0.1791E+01   0.5163E+00
 -0.1542E+01   0.1291E+00   0.3614E+00   0.3585E+00  -0.9900E+00   0.2436E+00   0.1867E+01   0.4942E+00
  0.6579E+00   0.3124E+00   0.2873E+00   0.3664E+00  -0.1271E+01   0.1826E+00   0.1459E+01   0.5594E+00
  0.1682E+01   0.1051E+00  -0.3927E+00   0.3546E+00  -0.1558E+01   0.1262E+00   0.2326E+01   0.3198E+00
 -0.1142E+01   0.2102E+00   0.5877E+00   0.3251E+00   0.6796E+00   0.3083E+00   0.1453E+01   0.5593E+00
  0.2379E+00   0.3707E+00   0.1142E+01   0.2103E+00  -0.4876E+00   0.3414E+00   0.1264E+01   0.5345E+00
  0.1175E+01   0.2031E+00  -0.7045E+00   0.3036E+00  -0.1728E+01   0.9790E-01   0.2205E+01   0.3688E+00
  0.3301E+00   0.3620E+00   0.1749E+01   0.9471E-01   0.8895E+00   0.2655E+00   0.1990E+01   0.4528E+00
 -0.1220E+00   0.3778E+00  -0.1426E+01   0.1509E+00  -0.6056E+00   0.3220E+00   0.1554E+01   0.5572E+00
  0.7052E+00   0.3034E+00  -0.1705E+01   0.1015E+00  -0.3770E+00   0.3566E+00   0.1883E+01   0.4893E+00
 -0.1114E+01   0.2163E+00  -0.1387E+01   0.1586E+00   0.1162E+01   0.2060E+00   0.2125E+01   0.4010E+00
 -0.1730E+00   0.3752E+00  -0.1642E+01   0.1117E+00  -0.1013E+00   0.3786E+00   0.1654E+01   0.5456E+00
 -0.1510E+01   0.1350E+00  -0.1311E+01   0.1742E+00  -0.1565E+01   0.1250E+00   0.2539E+01   0.2381E+00
  0.6648E+00   0.3111E+00   0.1095E+01   0.2205E+00  -0.7854E+00   0.2874E+00   0.1503E+01   0.5595E+00
  0.7211E+00   0.3003E+00  -0.1281E+01   0.1804E+00  -0.1002E+01   0.2409E+00   0.1779E+01   0.5192E+00
  0.1166E+01   0.2050E+00   0.1385E+01   0.1590E+00   0.1336E+01   0.1690E+00   0.2250E+01   0.3505E+00
  0.1018E+01   0.2375E+00   0.1375E+01   0.1610E+00   0.1624E+01   0.1147E+00   0.2359E+01   0.3067E+00
 -0.1685E+01   0.1047E+00   0.1756E+01   0.9372E-01   0.1524E+01   0.1324E+00   0.2871E+01   0.1345E+00
  0.4332E+00   0.3493E+00  -0.1768E+01   0.9186E-01   0.1581E+00   0.3761E+00   0.1827E+01   0.5062E+00
 -0.1590E+00   0.3760E+00   0.2265E-01   0.3803E+00  -0.1456E+01   0.1452E+00   0.1464E+01   0.5596E+00
  0.1567E+01   0.1245E+00   0.2671E+00   0.3682E+00  -0.6445E+00   0.3149E+00   0.1716E+01   0.5341E+00
  0.3022E+00   0.3649E+00  -0.2054E+00   0.3731E+00  -0.5848E+00   0.3256E+00   0.6896E+00   0.2649E+00
  0.4262E+00   0.3502E+00   0.1398E+01   0.1564E+00  -0.2656E+00   0.3684E+00   0.1486E+01   0.5597E+00
 -0.1486E+01   0.1394E+00   0.1003E+00   0.3786E+00  -0.1399E+00   0.3770E+00   0.1496E+01   0.5596E+00
 -0.8216E-01   0.3792E+00   0.5802E+00   0.3264E+00   0.1652E+01   0.1100E+00   0.1753E+01   0.5257E+00
 -0.6468E+00   0.3145E+00   0.1297E+01   0.1771E+00  -0.3494E+00   0.3598E+00   0.1491E+01   0.5597E+00
  0.1594E+01   0.1198E+00   0.9692E+00   0.2482E+00  -0.8512E+00   0.2736E+00   0.2051E+01   0.4300E+00
  0.4946E+00   0.3403E+00  -0.8302E+00   0.2781E+00   0.6472E+00   0.3144E+00   0.1163E+01   0.5058E+00
  0.1545E+01   0.1286E+00   0.1753E+01   0.9408E-01   0.1624E+01   0.1147E+00   0.2845E+01   0.1412E+00
 -0.1624E+01   0.1146E+00  -0.1544E+01   0.1287E+00   0.2614E-01   0.3803E+00   0.2241E+01   0.3542E+00
  0.9957E+00   0.2424E+00   0.1634E+01   0.1131E+00  -0.1866E+00   0.3744E+00   0.1922E+01   0.4765E+00
 -0.8276E+00   0.2786E+00   0.6262E+00   0.3183E+00   0.1051E+01   0.2303E+00   0.1477E+01   0.5597E+00
 -0.1113E+01   0.2166E+00   0.1194E+01   0.1991E+00   0.1368E+01   0.1625E+00   0.2130E+01   0.3992E+00
 -0.1728E-02   0.3804E+00   0.1247E+01   0.1876E+00   0.1414E+01   0.1533E+00   0.1885E+01   0.4886E+00
  0.6864E+00   0.3070E+00  -0.6869E+00   0.3070E+00  -0.7895E+00   0.2865E+00   0.1252E+01   0.5315E+00
  0.1010E+01   0.2393E+00   0.5003E+00   0.3395E+00   0.7332E+00   0.2979E+00   0.1344E+01   0.5497E+00
  0.2388E+00   0.3706E+00   0.3569E-01   0.3802E+00   0.1498E+01   0.1371E+00   0.1518E+01   0.5591E+00
 -0.3941E+00   0.3545E+00  -0.7138E+00   0.3017E+00  -0.2737E+00   0.3676E+00   0.8601E+00   0.3655E+00
  0.2821E+00   0.3669E+00  -0.1442E+01   0.1478E+00   0.2782E+00   0.3672E+00   0.1496E+01   0.5597E+00
  0.1549E+01   0.1279E+00   0.9161E+00   0.2597E+00  -0.8579E+00   0.2722E+00   0.1993E+01   0.4514E+00
  0.1312E+01   0.1739E+00  -0.1684E+01   0.1048E+00  -0.1259E+01   0.1850E+00   0.2479E+01   0.2602E+00
 -0.1036E+01   0.2336E+00  -0.1208E+01   0.1960E+00   0.1556E+01   0.1265E+00   0.2226E+01   0.3605E+00
 -0.1388E+01   0.1585E+00  -0.4097E+00   0.3524E+00  -0.2943E+00   0.3657E+00   0.1477E+01   0.5597E+00
 -0.1773E+01   0.9107E-01   0.1342E+01   0.1677E+00   0.2901E+00   0.3661E+00   0.2243E+01   0.3535E+00
 -0.9166E+00   0.2596E+00  -0.1571E+00   0.3761E+00   0.6233E+00   0.3188E+00   0.1119E+01   0.4903E+00
