     MC_step       U_adim       P_adim
         301   0.1368E+05   0.2022E+03
         302   0.1331E+05   0.1975E+03
         303   0.1384E+05   0.2043E+03
         304   0.1333E+05   0.1979E+03
         305   0.1323E+05   0.1966E+03
         306   0.1361E+05   0.2013E+03
         307   0.1420E+05   0.2089E+03
         308   0.1376E+05   0.2033E+03
         309   0.1324E+05   0.1966E+03
         310   0.1361E+05   0.2014E+03
         311   0.1399E+05   0.2062E+03
         312   0.1389E+05   0.2049E+03
         313   0.1370E+05   0.2025E+03
         314   0.1377E+05   0.2034E+03
         315   0.1375E+05   0.2033E+03
         316   0.1393E+05   0.2055E+03
         317   0.1449E+05   0.2129E+03
         318   0.1340E+05   0.1988E+03
         319   0.1403E+05   0.2069E+03
         320   0.1417E+05   0.2090E+03
         321   0.1442E+05   0.2121E+03
         322   0.1501E+05   0.2197E+03
         323   0.1552E+05   0.2260E+03
         324   0.1589E+05   0.2308E+03
         325   0.1627E+05   0.2357E+03
         326   0.1610E+05   0.2338E+03
         327   0.1639E+05   0.2375E+03
         328   0.1695E+05   0.2448E+03
         329   0.1724E+05   0.2483E+03
         330   0.1632E+05   0.2367E+03
         331   0.1636E+05   0.2372E+03
         332   0.1627E+05   0.2363E+03
         333   0.1568E+05   0.2286E+03
         334   0.1525E+05   0.2232E+03
         335   0.1493E+05   0.2192E+03
         336   0.1553E+05   0.2269E+03
         337   0.1527E+05   0.2236E+03
         338   0.1505E+05   0.2207E+03
         339   0.1518E+05   0.2223E+03
         340   0.1478E+05   0.2171E+03
         341   0.1528E+05   0.2237E+03
         342   0.1493E+05   0.2192E+03
         343   0.1530E+05   0.2243E+03
         344   0.1495E+05   0.2198E+03
         345   0.1520E+05   0.2231E+03
         346   0.1574E+05   0.2301E+03
         347   0.1632E+05   0.2376E+03
         348   0.1512E+05   0.2223E+03
         349   0.1493E+05   0.2198E+03
         350   0.1489E+05   0.2192E+03
         351   0.1488E+05   0.2191E+03
         352   0.1536E+05   0.2251E+03
         353   0.1526E+05   0.2238E+03
         354   0.1487E+05   0.2188E+03
         355   0.1542E+05   0.2258E+03
         356   0.1535E+05   0.2247E+03
         357   0.1511E+05   0.2217E+03
         358   0.1569E+05   0.2290E+03
         359   0.1595E+05   0.2326E+03
         360   0.1598E+05   0.2330E+03
         361   0.1660E+05   0.2409E+03
         362   0.1580E+05   0.2309E+03
         363   0.1639E+05   0.2384E+03
         364   0.1680E+05   0.2437E+03
         365   0.1644E+05   0.2391E+03
         366   0.1657E+05   0.2407E+03
         367   0.1616E+05   0.2354E+03
         368   0.1685E+05   0.2443E+03
         369   0.1707E+05   0.2472E+03
         370   0.1652E+05   0.2402E+03
         371   0.1661E+05   0.2413E+03
         372   0.1565E+05   0.2290E+03
         373   0.1611E+05   0.2350E+03
         374   0.1671E+05   0.2428E+03
         375   0.1694E+05   0.2459E+03
         376   0.1744E+05   0.2522E+03
         377   0.1687E+05   0.2451E+03
         378   0.1701E+05   0.2470E+03
         379   0.1750E+05   0.2533E+03
         380   0.1795E+05   0.2591E+03
         381   0.1829E+05   0.2635E+03
         382   0.1852E+05   0.2665E+03
         383   0.1866E+05   0.2683E+03
         384   0.1924E+05   0.2757E+03
         385   0.1944E+05   0.2782E+03
         386   0.1980E+05   0.2827E+03
         387   0.1976E+05   0.2822E+03
         388   0.1999E+05   0.2851E+03
         389   0.1968E+05   0.2811E+03
         390   0.1963E+05   0.2805E+03
         391   0.1929E+05   0.2760E+03
         392   0.1888E+05   0.2707E+03
         393   0.1886E+05   0.2705E+03
         394   0.1919E+05   0.2751E+03
         395   0.1912E+05   0.2742E+03
         396   0.1950E+05   0.2789E+03
         397   0.1967E+05   0.2809E+03
         398   0.1972E+05   0.2817E+03
         399   0.1827E+05   0.2631E+03
         400   0.1855E+05   0.2668E+03
         401   0.1834E+05   0.2641E+03
         402   0.1830E+05   0.2636E+03
         403   0.1873E+05   0.2692E+03
         404   0.1868E+05   0.2684E+03
         405   0.1904E+05   0.2730E+03
         406   0.1897E+05   0.2722E+03
         407   0.1873E+05   0.2690E+03
         408   0.1863E+05   0.2676E+03
         409   0.1894E+05   0.2714E+03
         410   0.1922E+05   0.2752E+03
         411   0.1934E+05   0.2766E+03
         412   0.1923E+05   0.2752E+03
         413   0.1940E+05   0.2774E+03
         414   0.1874E+05   0.2688E+03
         415   0.1904E+05   0.2726E+03
         416   0.1907E+05   0.2732E+03
         417   0.1944E+05   0.2780E+03
         418   0.2006E+05   0.2861E+03
         419   0.1998E+05   0.2850E+03
         420   0.1997E+05   0.2849E+03
         421   0.1880E+05   0.2700E+03
         422   0.1916E+05   0.2744E+03
         423   0.1880E+05   0.2698E+03
         424   0.1894E+05   0.2713E+03
         425   0.1898E+05   0.2719E+03
         426   0.1926E+05   0.2757E+03
         427   0.1918E+05   0.2748E+03
         428   0.1915E+05   0.2745E+03
         429   0.1973E+05   0.2820E+03
         430   0.1990E+05   0.2842E+03
         431   0.1978E+05   0.2827E+03
         432   0.2007E+05   0.2864E+03
         433   0.2057E+05   0.2929E+03
         434   0.1986E+05   0.2835E+03
         435   0.1922E+05   0.2756E+03
         436   0.1946E+05   0.2787E+03
         437   0.1976E+05   0.2824E+03
         438   0.2006E+05   0.2861E+03
         439   0.1991E+05   0.2842E+03
         440   0.1928E+05   0.2761E+03
         441   0.1836E+05   0.2644E+03
         442   0.1825E+05   0.2631E+03
         443   0.1820E+05   0.2626E+03
         444   0.1876E+05   0.2699E+03
         445   0.1869E+05   0.2689E+03
         446   0.1858E+05   0.2675E+03
         447   0.1904E+05   0.2735E+03
         448   0.1834E+05   0.2643E+03
         449   0.1796E+05   0.2595E+03
         450   0.1824E+05   0.2628E+03
         451   0.1851E+05   0.2662E+03
         452   0.1826E+05   0.2632E+03
         453   0.1887E+05   0.2709E+03
         454   0.1922E+05   0.2754E+03
         455   0.1992E+05   0.2841E+03
         456   0.1948E+05   0.2786E+03
         457   0.2011E+05   0.2865E+03
         458   0.2009E+05   0.2864E+03
         459   0.1989E+05   0.2838E+03
         460   0.2030E+05   0.2892E+03
         461   0.2060E+05   0.2932E+03
         462   0.1916E+05   0.2748E+03
         463   0.1838E+05   0.2649E+03
         464   0.1809E+05   0.2612E+03
         465   0.1761E+05   0.2550E+03
         466   0.1762E+05   0.2550E+03
         467   0.1776E+05   0.2567E+03
         468   0.1803E+05   0.2601E+03
         469   0.1826E+05   0.2632E+03
         470   0.1838E+05   0.2648E+03
         471   0.1894E+05   0.2719E+03
         472   0.1912E+05   0.2742E+03
         473   0.1891E+05   0.2716E+03
         474   0.1945E+05   0.2787E+03
         475   0.1998E+05   0.2856E+03
         476   0.1908E+05   0.2742E+03
         477   0.1928E+05   0.2766E+03
         478   0.1915E+05   0.2749E+03
         479   0.1868E+05   0.2688E+03
         480   0.1899E+05   0.2727E+03
         481   0.1880E+05   0.2700E+03
         482   0.1935E+05   0.2770E+03
         483   0.1959E+05   0.2799E+03
         484   0.2000E+05   0.2852E+03
         485   0.2021E+05   0.2881E+03
         486   0.1900E+05   0.2728E+03
         487   0.1879E+05   0.2702E+03
         488   0.1828E+05   0.2639E+03
         489   0.1890E+05   0.2718E+03
         490   0.1945E+05   0.2789E+03
         491   0.1909E+05   0.2746E+03
         492   0.1973E+05   0.2827E+03
         493   0.1937E+05   0.2782E+03
         494   0.1904E+05   0.2738E+03
         495   0.1883E+05   0.2710E+03
         496   0.1926E+05   0.2763E+03
         497   0.1911E+05   0.2745E+03
         498   0.1919E+05   0.2756E+03
         499   0.1922E+05   0.2760E+03
         500   0.1990E+05   0.2847E+03
         501   0.2057E+05   0.2932E+03
         502   0.2108E+05   0.3000E+03
         503   0.1952E+05   0.2804E+03
         504   0.2021E+05   0.2889E+03
         505   0.1978E+05   0.2832E+03
         506   0.1966E+05   0.2819E+03
         507   0.1892E+05   0.2726E+03
         508   0.1825E+05   0.2642E+03
         509   0.1866E+05   0.2696E+03
         510   0.1912E+05   0.2755E+03
         511   0.1913E+05   0.2757E+03
         512   0.1947E+05   0.2801E+03
         513   0.1961E+05   0.2819E+03
         514   0.1955E+05   0.2812E+03
         515   0.1920E+05   0.2768E+03
         516   0.1934E+05   0.2786E+03
         517   0.1904E+05   0.2744E+03
         518   0.1921E+05   0.2765E+03
         519   0.1911E+05   0.2752E+03
         520   0.1945E+05   0.2795E+03
         521   0.1973E+05   0.2831E+03
         522   0.2029E+05   0.2903E+03
         523   0.2055E+05   0.2937E+03
         524   0.2041E+05   0.2922E+03
         525   0.2071E+05   0.2960E+03
         526   0.2107E+05   0.3004E+03
         527   0.2099E+05   0.2992E+03
         528   0.2043E+05   0.2919E+03
         529   0.2070E+05   0.2954E+03
         530   0.2126E+05   0.3028E+03
         531   0.2166E+05   0.3080E+03
         532   0.2152E+05   0.3063E+03
         533   0.2204E+05   0.3127E+03
         534   0.2083E+05   0.2970E+03
         535   0.1958E+05   0.2810E+03
         536   0.1946E+05   0.2794E+03
         537   0.1941E+05   0.2786E+03
         538   0.1972E+05   0.2825E+03
         539   0.2002E+05   0.2863E+03
         540   0.1947E+05   0.2795E+03
